Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),215.33,26.20,313.11,312.68,311.59,287.38,271.16,247.51,144.97,59.42,35.14,27.62
Time To Second Token (ms),59.41,3.65,203.95,203.39,186.89,185.49,49.33,42.30,7.45,7.34,6.67,6.61
Request Latency (ms),"1,319.14","1,251.29","1,354.86","1,347.27","1,344.06","1,333.16","1,327.87","1,320.82","1,312.18","1,302.68","1,288.17","1,269.32"
Inter Token Latency (ms),7.24,5.75,9.12,8.93,8.44,8.20,7.56,7.09,6.80,6.55,6.45,6.21
Output Token Throughput Per User (tokens/sec/user),139.06,109.61,173.90,161.11,154.98,152.73,147.01,140.97,132.30,121.90,118.42,111.97
Output Sequence Length (tokens),153.70,141.00,182.00,172.51,166.00,162.10,158.00,153.00,149.00,146.00,144.00,142.00
Input Sequence Length (tokens),512.08,512.00,513.00,513.00,513.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00

Metric,Value
Output Token Throughput (tokens/sec),"2,909.37"
Request Throughput (per sec),18.93
Request Count (count),250.00
