Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),97.07,20.77,147.25,145.24,144.11,137.52,131.28,109.66,67.28,41.12,29.27,21.47
Time To Second Token (ms),28.58,4.62,87.40,87.25,86.39,85.55,54.50,8.23,7.83,6.08,4.71,4.64
Request Latency (ms),"1,685.80","1,646.85","1,710.47","1,706.94","1,704.26","1,703.29","1,693.12","1,687.44","1,680.63","1,669.66","1,666.12","1,646.94"
Inter Token Latency (ms),6.64,5.79,7.70,7.37,7.18,7.03,6.84,6.65,6.43,6.27,6.09,5.97
Output Token Throughput Per User (tokens/sec/user),150.91,129.84,172.82,167.47,164.12,159.55,155.60,150.45,146.26,142.25,139.31,135.64
Output Sequence Length (tokens),240.62,203.00,272.00,268.06,259.00,254.10,246.75,240.00,234.00,229.00,227.00,222.00
Input Sequence Length (tokens),200.08,200.00,201.00,201.00,201.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (tokens/sec),"3,564.34"
Request Throughput (per sec),14.81
Request Count (count),250.00
