Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),36.69,16.40,51.72,51.63,50.59,42.61,41.85,38.96,37.91,18.92,16.69,16.41
Time To Second Token (ms),9.72,4.49,28.11,28.04,26.90,26.68,5.46,5.29,4.93,4.82,4.54,4.50
Request Latency (ms),"1,098.35","1,092.04","1,108.50","1,108.36","1,106.70","1,103.88","1,099.54","1,098.07","1,095.56","1,094.21","1,092.77","1,092.36"
Inter Token Latency (ms),4.39,3.99,4.73,4.71,4.65,4.62,4.52,4.40,4.29,4.13,4.11,4.04
Output Token Throughput Per User (tokens/sec/user),228.33,211.61,250.49,247.53,243.54,242.14,233.07,227.32,221.32,216.51,215.19,212.14
Output Sequence Length (tokens),243.40,226.00,266.00,266.00,259.00,257.00,250.50,242.50,236.00,233.00,228.45,226.98
Input Sequence Length (tokens),200.12,200.00,201.00,201.00,201.00,201.00,200.00,200.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (tokens/sec),"1,107.29"
Request Throughput (per sec),4.55
Request Count (count),50.00
