Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),63.99,22.94,83.98,83.89,83.76,73.73,73.21,72.67,70.48,25.49,23.98,23.00
Time To Second Token (ms),14.86,4.51,54.60,54.27,53.68,53.16,6.03,5.21,4.98,4.62,4.55,4.51
Request Latency (ms),749.93,748.13,759.40,759.33,759.15,750.54,749.46,749.12,748.61,748.50,748.42,748.26
Inter Token Latency (ms),4.52,4.00,4.97,4.96,4.90,4.79,4.68,4.55,4.38,4.22,4.17,4.05
Output Token Throughput Per User (tokens/sec/user),221.57,201.25,250.20,247.10,239.95,236.77,228.53,219.62,213.76,208.67,204.28,201.55
Output Sequence Length (tokens),152.88,142.00,170.00,169.02,165.10,161.20,156.00,152.00,148.00,145.00,144.45,142.98
Input Sequence Length (tokens),512.12,512.00,513.00,513.00,513.00,513.00,512.00,512.00,512.00,512.00,512.00,512.00

Metric,Value
Output Token Throughput (tokens/sec),"1,018.50"
Request Throughput (per sec),6.66
Request Count (count),50.00
