Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),21.53,16.08,31.69,30.62,26.33,25.61,25.09,23.49,16.56,16.31,16.25,16.12
Time To Second Token (ms),8.52,4.26,14.00,13.91,13.56,13.19,12.87,5.38,4.82,4.42,4.41,4.29
Request Latency (ms),981.19,978.89,986.59,986.03,983.80,983.40,982.08,980.60,979.97,979.27,979.22,978.96
Inter Token Latency (ms),4.05,3.76,4.36,4.35,4.30,4.21,4.16,4.10,3.94,3.79,3.78,3.77
Output Token Throughput Per User (tokens/sec/user),247.23,229.26,265.69,265.52,264.83,263.60,253.72,244.11,240.58,237.77,232.44,229.89
Output Sequence Length (tokens),238.25,222.00,257.00,256.43,254.15,253.10,245.50,235.50,231.75,229.50,224.85,222.57
Input Sequence Length (tokens),200.05,200.00,201.00,200.81,200.05,200.00,200.00,200.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (tokens/sec),485.26
Request Throughput (per sec),2.04
Request Count (count),20.00
