Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),31.49,22.43,44.81,43.82,39.86,39.54,38.17,31.25,24.37,22.60,22.46,22.44
Time To Second Token (ms),11.92,4.85,19.31,19.25,19.03,19.01,18.96,11.80,4.89,4.87,4.86,4.85
Request Latency (ms),660.91,658.27,667.73,666.83,663.20,662.85,662.06,661.18,658.80,658.46,658.28,658.28
Inter Token Latency (ms),4.19,3.90,4.52,4.50,4.43,4.42,4.36,4.21,3.99,3.94,3.91,3.90
Output Token Throughput Per User (tokens/sec/user),238.92,221.37,256.55,256.39,255.74,254.02,250.63,237.50,229.53,226.42,225.79,222.25
Output Sequence Length (tokens),151.35,142.00,164.00,163.43,161.15,160.10,157.50,150.50,146.50,143.80,142.00,142.00
Input Sequence Length (tokens),512.05,512.00,513.00,512.81,512.05,512.00,512.00,512.00,512.00,512.00,512.00,512.00

Metric,Value
Output Token Throughput (tokens/sec),457.53
Request Throughput (per sec),3.02
Request Count (count),20.00
