Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),378.09,33.67,609.97,595.48,562.94,552.28,515.34,425.35,266.45,149.72,80.89,56.36
Time To Second Token (ms),120.93,0.00,518.28,205.40,201.59,200.84,200.20,122.68,9.26,6.67,0.00,0.00
Request Latency (ms),"1,689.31","1,617.34","1,788.87","1,736.73","1,729.73","1,706.65","1,693.50","1,687.50","1,683.41","1,676.50","1,655.34","1,617.49"
Inter Token Latency (ms),8.58,6.59,11.84,11.05,10.48,9.99,9.31,8.39,7.81,7.43,7.19,6.81
Output Token Throughput Per User (tokens/sec/user),118.04,84.46,151.78,146.88,139.08,134.55,128.05,119.16,107.44,100.06,95.42,90.52
Output Sequence Length (tokens),153.99,137.00,178.00,172.00,166.05,163.00,158.00,154.00,149.00,146.00,144.00,141.00
Input Sequence Length (tokens),512.07,512.00,513.00,513.00,513.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00

Metric,Value
Output Token Throughput (tokens/sec),"4,552.64"
Request Throughput (per sec),29.56
Request Count (count),500.00
