Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),197.25,22.35,276.50,272.40,261.90,261.39,245.94,239.52,189.35,73.41,39.60,30.45
Time To Second Token (ms),36.11,0.00,189.90,189.48,187.29,137.13,59.07,8.52,7.09,6.34,5.74,0.01
Request Latency (ms),"1,957.01","1,869.38","2,036.77","2,032.52","2,014.75","1,987.03","1,965.69","1,952.23","1,942.21","1,936.81","1,930.09","1,884.11"
Inter Token Latency (ms),7.37,6.36,8.55,8.39,8.12,7.96,7.65,7.37,7.10,6.81,6.67,6.49
Output Token Throughput Per User (tokens/sec/user),136.04,116.93,157.28,154.13,149.97,146.76,140.86,135.78,130.69,125.59,123.17,119.21
Output Sequence Length (tokens),240.01,219.00,270.00,264.01,258.00,253.00,246.00,238.00,233.00,229.00,226.00,221.99
Input Sequence Length (tokens),200.07,200.00,201.00,201.00,201.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (tokens/sec),"6,111.81"
Request Throughput (per sec),25.47
Request Count (count),500.00
